4.6919 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.6924 	INFO 	Loaded monitor calibration from ['2024_07_12 13:09']
4.8493 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583BE0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583B80>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA5839D0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000240DA947B20>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.8493 	EXP 	window1: backgroundImage = ''
4.8493 	EXP 	window1: backgroundFit = 'none'
4.8495 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583D00>
4.8497 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583D00>
4.8514 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583D00>
4.8520 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583D00>
4.8562 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8572 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8583 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8593 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8603 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8609 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8618 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8629 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8637 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8644 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8653 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8662 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8670 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8678 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8686 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8695 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8703 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8711 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8718 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8730 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8738 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8740 	DEBUG 	Uploading Texture Font fontname to graphics card
4.8799 	DEBUG 	Upload of Texture Font fontname complete
4.8811 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583D00>
4.8812 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583D00>
4.8816 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583D00>
4.8820 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000240DA583D00>
4.8868 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8878 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8888 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8890 	DEBUG 	Uploading Texture Font fontname to graphics card
4.8943 	DEBUG 	Upload of Texture Font fontname complete
4.8958 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.8958 	EXP 	window1: recordFrameIntervals = False
4.9826 	EXP 	window1: recordFrameIntervals = True
5.0589 	EXP 	Screen (0) actual frame rate measured at 144.56Hz
5.0589 	EXP 	window1: recordFrameIntervals = False
5.0590 	EXP 	window1: mouseVisible = False
5.0592 	EXP 	window1: mouseVisible = False
5.0593 	EXP 	window1: mouseVisible = False
5.0597 	EXP 	window1: mouseVisible = False
5.0601 	EXP 	window1: mouseVisible = False
5.0633 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0644 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0653 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0662 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0671 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0680 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0687 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0696 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0706 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0715 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.0717 	DEBUG 	Uploading Texture Font fontname to graphics card
5.0721 	DEBUG 	Upload of Texture Font fontname complete
5.0731 	EXP 	window1: mouseVisible = False
5.0732 	EXP 	window1: mouseVisible = False
5.0736 	EXP 	window1: mouseVisible = False
5.0738 	EXP 	window1: mouseVisible = False
5.0887 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
7.5177 	INFO 	keyboard.Keyboard is using iohub backend.
7.5177 	INFO 	keyboard.Keyboard is using iohub backend.
7.5177 	INFO 	keyboard.Keyboard is using iohub backend.
7.5177 	INFO 	keyboard.Keyboard is using iohub backend.
7.5178 	INFO 	keyboard.Keyboard is using iohub backend.
7.5178 	INFO 	keyboard.Keyboard is using iohub backend.
7.5178 	INFO 	keyboard.Keyboard is using iohub backend.
7.5178 	INFO 	keyboard.Keyboard is using iohub backend.
7.5178 	INFO 	keyboard.Keyboard is using iohub backend.
7.5178 	INFO 	keyboard.Keyboard is using iohub backend.
7.5179 	INFO 	keyboard.Keyboard is using iohub backend.
7.5179 	EXP 	untitled: status = STARTED
7.5180 	EXP 	window1: mouseVisible = False
7.5542 	EXP 	Created intro1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='intro1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='你好，欢迎参加实验！\n请按空格继续。', units='height', win=Window(...), wrapWidth=1)
7.5542 	EXP 	window1: mouseVisible = False
7.5758 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.5759 	EXP 	window1: mouseVisible = False
7.5771 	EXP 	Created polygon_4 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1.0, name='polygon_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
7.5772 	EXP 	window1: mouseVisible = False
